block_precision,congestion_max,congestion_mean,congestion_min,congestion_p50,congestion_p90,congestion_p99,lever_arrivals_per_step,lever_mean_offered_ratio,n_decisions,source,total_blocks,ue_count
,0.2393464297056198,0.08121538483881315,0.009999999776482582,0.07999999821186066,0.07999999821186066,0.2393464297056198,2,0.1,1911,offline,,
,0.53934645652771,0.08632981050847277,0.06025676801800728,0.07999999821186066,0.07999999821186066,0.53934645652771,2,0.2,1911,offline,,
,0.8393464088439941,0.09111335426802912,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.8393464088439941,2,0.3,1911,offline,,
,1.0,0.09416708853125011,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.4,1911,offline,,
,1.0,0.0952031952526356,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.5,1911,offline,,
,1.0,0.09614511061126434,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.6,1911,offline,,
,1.0,0.09708702568918046,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.7,1911,offline,,
,1.0,0.09802894095423832,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.8,1911,offline,,
,1.0,0.09897085621929617,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,0.9,1911,offline,,
,1.0,0.09989180206503935,0.07999999821186066,0.07999999821186066,0.07999999821186066,1.0,2,1.0,1911,offline,,
,0.2393464297056198,0.08025395054566233,0.009999999776482582,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.1,3705,offline,,
,0.53934645652771,0.08341820610438282,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09000000357627869,4,0.2,3705,offline,,
,0.8393464088439941,0.08568541230219096,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09000000357627869,4,0.3,3705,offline,,
,1.0,0.08711474729694335,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.4,3705,offline,,
,1.0,0.08743863391731432,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.5,3705,offline,,
,1.0,0.08776252063421103,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.6,3705,offline,,
,1.0,0.08808640715805625,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.7,3705,offline,,
,1.0,0.08841029387495296,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.8,3705,offline,,
,1.0,0.08873418059184966,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,0.9,3705,offline,,
,1.0,0.08903643550419131,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.10000000149011612,4,1.0,3705,offline,,
,0.2393464297056198,0.07973020269225041,0.009999999776482582,0.07999999821186066,0.07999999821186066,0.10000000149011612,8,0.1,7200,offline,,
,0.53934645652771,0.08195341562231381,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,8,0.2,7200,offline,,
,0.8393464088439941,0.08328674882650375,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,8,0.3,7200,offline,,
,1.0,0.0842555941392978,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.4,7200,offline,,
,1.0,0.08458892745276292,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.5,7200,offline,,
,1.0,0.08492226086556912,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.6,7200,offline,,
,1.0,0.08525559407969316,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.7,7200,offline,,
,1.0,0.08558892749249936,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.8,7200,offline,,
,1.0,0.08592226090530554,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,0.9,7200,offline,,
,1.0,0.08623333158592383,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.09010000355541925,8,1.0,7200,offline,,
1.0,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,0.14000000059604645,,,3600,live,2,1
